Royalty Date,Title,ASIN/ISBN,Language,book_nick_name,Authors,Units Sold,Units Refunded,Net Units Sold,Marketplace,Royalty Type,Transaction Type,Royalty,Currency,Authors Count,Royalty USD,Royalty per Author (USD),BookType,Year Sold,Authors_Exploded
2018-12,"African tales, Bamiléké fairy tales, English-French version: Contes africains, contes bamilekes, Anglais-Francais",9781518704451,English-French,english-french_african_tales_bamiléké_fairy_tales,Shck Tchamna,1,0,1,Amazon.com,60%,Standard - Paperback,4.21,USD,2,4.21,2.105,Paper,2018,['Shck Tchamna']
2018-12,"African tales, Bamiléké fairy tales, English-French version: Contes africains, contes bamilekes, Anglais-Francais",9781518704451,English-French,english-french_african_tales_bamiléké_fairy_tales,Shck Tchamna,1,0,1,Amazon.com,60%,Standard - Paperback,4.21,USD,2,4.21,2.105,Paper,2018,['Shck Tchamna']
2018-11,Étude Comparative des Variantes Dialectales de L'unique Langue Bamiléké Part I: Comparative Study of the Bamileke dialects Part I,9781533014986,Nufi,bamileke_étude_comparative_mulb,Shck Tchamna,1,0,1,Amazon.fr,60%,Standard - Paperback,8.44,EUR,2,9.84830805134189,4.924154025670945,Paper,2018,['Shck Tchamna']
2018-11,Contes bamilekés racontés en medumba et traduits en français (Black and White): medumba (Bangangte) Fairy tales,9781519171191,Medumba,medumba_contes_bamilekes_black_white,Leopold Tchoumi,1,0,1,Amazon.fr,60%,Standard - Paperback,5.29,EUR,2,6.17269544924154,3.08634772462077,Paper,2018,['Leopold Tchoumi']
2018-11,"Contes africains, contes bamilekés racontés en nufi et traduits en francais (Full Color): African's fairy tales",9781512166378,Nufi,nufi_contes_bamilekes,"Resulam, Shck Tchamna",1,0,1,Amazon.fr,60%,Standard - Paperback,5.63,EUR,2,6.569428238039674,3.284714119019837,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Contes bamilekés racontés en medumba et traduits en français (Black and White): medumba (Bangangte) Fairy tales,9781519171191,Medumba,medumba_contes_bamilekes_black_white,Leopold Tchoumi,1,0,1,CreateSpace DE,,Standard,5.47,EUR,2,6.382730455075846,3.191365227537923,Paper,2018,['Leopold Tchoumi']
2018-11,"Contes africains, contes bamilékés racontés en nufi et traduits en français (Black and White): African's fairy tales",9781512310139,Nufi,nufi_contes_bamileke_black_white,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,5.44,EUR,2,6.347724620770129,3.1738623103850645,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Étude Comparative des Variantes Dialectales de L'unique Langue Bamiléké Part I: Comparative Study of the Bamileke dialects Part I,9781533014986,Nufi,bamileke_étude_comparative_mulb,Shck Tchamna,1,0,1,CreateSpace UK,,Standard,7.45,GBP,2,9.946595460614153,4.973297730307077,Paper,2018,['Shck Tchamna']
2018-11,Contes bamilekés racontés en medumba et traduits en français (Black and White): medumba (Bangangte) Fairy tales,9781519171191,Medumba,medumba_contes_bamilekes_black_white,Leopold Tchoumi,1,0,1,Amazon.com,60%,Standard - Paperback,5.64,USD,2,5.64,2.82,Paper,2018,['Leopold Tchoumi']
2018-11,"Contes africains, contes bamilékés racontés en nufi et traduits en français (Black and White): African's fairy tales",9781512310139,Nufi,nufi_contes_bamileke_black_white,"Resulam, Shck Tchamna",1,0,1,Amazon.com,60%,Standard - Paperback,5.64,USD,2,5.64,2.82,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-yemba: French-Yemba-English Phrasebook: French-Yemba-English Phrasebook,9781729670750,Yemba,yemba_phrasebook,"Giresse Jiokeng Feutsa, Oliver Germain Tafouemewe, Shck Tchamna",1,0,1,Amazon.fr,60%,Standard - Paperback,7.84,EUR,4,9.148191365227538,2.2870478413068844,Paper,2018,"['Giresse Jiokeng Feutsa', ' Oliver Germain Tafouemewe', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-yemba: French-Yemba-English Phrasebook: French-Yemba-English Phrasebook,9781729670750,Yemba,yemba_phrasebook,"Giresse Jiokeng Feutsa, Oliver Germain Tafouemewe, Shck Tchamna",1,0,1,Amazon.fr,60%,Standard - Paperback,7.84,EUR,4,9.148191365227538,2.2870478413068844,Paper,2018,"['Giresse Jiokeng Feutsa', ' Oliver Germain Tafouemewe', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,Amazon.fr,60%,Standard - Paperback,8.89,EUR,2,10.373395565927655,5.186697782963828,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,Amazon.fr,60%,Standard - Paperback,8.89,EUR,2,10.373395565927655,5.186697782963828,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace DE,,Standard,9.28,EUR,2,10.828471411901983,5.414235705950992,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Contes bamilekés racontés en medumba et traduits en français (Version Couleur): medumba fairy tales,9781519205971,Medumba,medumba_contes_bamilekés,"Shck Tchamna, Leopold Tchoumi",1,0,1,CreateSpace DE,,Standard,5.15,EUR,3,6.0093348891481915,2.003111629716064,Paper,2018,"['Shck Tchamna', ' Leopold Tchoumi']"
2018-11,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,CreateSpace US,,Standard,9.65,USD,2,9.65,4.825,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-medumba: French-Medumba-English Phrasebook,9781540312365,Medumba,medumba_phrasebook,"Resulam, Shck Tchamna",1,0,1,Amazon.com,60%,Standard - Paperback,9.24,USD,2,9.24,4.62,Paper,2018,"['Resulam', ' Shck Tchamna']"
2018-11,Guide de conversation trilingue français-anglais-douala: French-Duala-English Phrasebook,9781535454360,Duala,duala_phrasebook,"Resulam, Shck Tchamna",1,0,1,Amazon.com,60%,Standard - Paperback,9.05,USD,2,9.05,4.525,Paper,2018,"['Resulam', ' Shck Tchamna']"
